rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1556710304388223045,,253759,,1556709519,593847066,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304436145052,,253760,,1556709519,642167920,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304489695976,,253761,,1556709519,694189415,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304537235074,,253762,,1556709519,743047917,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304587892007,,253763,,1556709519,793988038,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304638546395,,253764,,1556709519,843056260,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304686058994,,253765,,1556709519,892886063,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304739364356,,253766,,1556709519,943056393,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304786181123,,253767,,1556709519,992927892,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304838910739,,253768,,1556709520,44240107,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304888564286,,253769,,1556709520,92831049,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304939561428,,253770,,1556709520,144638490,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710304993946453,,253771,,1556709520,198483980,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305038942949,,253772,,1556709520,242972581,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305089606829,,253773,,1556709520,293549751,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305137486372,,253774,,1556709520,342314378,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305188304343,,253775,,1556709520,392590075,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305237300089,,253776,,1556709520,442174424,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305288397678,,253777,,1556709520,492742021,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305339611720,,253778,,1556709520,543893348,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
1556710305389834692,,253779,,1556709520,593831302,'',"[head_1_joint, head_2_joint]","[-0.010122909649999998, 0.09616764167499997]","[0.0, 0.0]","[0.0, 0.0]"
